name,country,room_type,nr_nights,date,traveler_type,title_review,pos_review,neg_review,score,date_parsed,year,month,full_review_text,review_language,sentiment
Ryan,United Kingdom,Budget Single Room,3,April 2026,Solo traveller,Lovely stay in Porto,Great location Nice enough room and breakfast Hotel bar open in the evenings - rooftop so nice views Lovely staff,"The pipes outside my room were quite noisy on the first night. There's a minibar in the room (in the fridge). It would be helpful to know that the crisps, chocolate bar and small bottles of wine which are left out on top of the fridge are not free and are part of the minibar.",8.0,2026-04,2026,4,"Great location Nice enough room and breakfast Hotel bar open in the evenings - rooftop so nice views Lovely staff The pipes outside my room were quite noisy on the first night. There's a minibar in the room (in the fridge). It would be helpful to know that the crisps, chocolate bar and small bottles of wine which are left out on top of the fridge are not free and are part of the minibar.",en,positive
Peter,Canada,Budget Double Room,2,April 2026,Couple,"Great location, accommodation and staff",Everything,Breakfast could use some muesli and more fresh fruit plus cold milk availability.,9.0,2026-04,2026,4,Everything Breakfast could use some muesli and more fresh fruit plus cold milk availability.,en,positive
Sinead,Ireland,Budget Single Room,1,March 2026,Solo traveller,Superb,The hotel is in a good location. The staff were friendly. Breakfast was tasty. The room is small but enough for one person. The shower was hot. The hotel is quirky with nice decor.,,9.0,2026-03,2026,3,The hotel is in a good location. The staff were friendly. Breakfast was tasty. The room is small but enough for one person. The shower was hot. The hotel is quirky with nice decor.,en,positive
Barbara,United Kingdom,Budget Double Room,1,April 2026,Couple,"Rock-Hard Bed, Average Stay",Location central,"We stayed at this hotel expecting a comfortable night, especially for €190 per night including breakfast, but unfortunately it didn’t quite meet expectations. The main issue was the mattress and pillows — they were extremely hard. Honestly, if you had a pillow fight here, someone might end up in hospital! It really affected our sleep and overall comfort. The breakfast was included, but it was quite average and nothing special for the price we paid. Overall, while the stay was okay, the comfort level and value for money could definitely be improved.",7.0,2026-04,2026,4,"Location central We stayed at this hotel expecting a comfortable night, especially for €190 per night including breakfast, but unfortunately it didn’t quite meet expectations. The main issue was the mattress and pillows — they were extremely hard. Honestly, if you had a pillow fight here, someone might end up in hospital! It really affected our sleep and overall comfort. The breakfast was included, but it was quite average and nothing special for the price we paid. Overall, while the stay was okay, the comfort level and value for money could definitely be improved.",en,neutral
Perzelova,Netherlands,Budget Double Room,5,March 2026,Couple,Weird smell in the hotel,Good location,There was a weird smell in the whole hotel,7.0,2026-03,2026,3,Good location There was a weird smell in the whole hotel,en,neutral
Penny,United Kingdom,Twin Room,1,April 2026,Couple,Very friendly staff and a fantastic breakfast,Location Size of the room,Everything was good,8.0,2026-04,2026,4,Location Size of the room Everything was good,en,positive
Baraboulka,Lithuania,Budget Double Room,1,March 2026,Couple,I came for the collection- I got the collection,"I came there for the collection of the 20th century's artifacts and it excedeed my expectations. The roof view is outstanding. I also slept well. The kitchen ladies are lovely and helpful, the cakes and buns are tasty.","Tap water has very distinctive smell. The bathroom has no privacy, because the doors are from mated glass. Also I didn't enjoy breakfast very much despite the cakes. Sausages, nuggets were just not tasty. It wasn't quite clear what belonged to the minibar and what not since the rules in different hotels vary, and it wasn't very pleasant.",7.0,2026-03,2026,3,"I came there for the collection of the 20th century's artifacts and it excedeed my expectations. The roof view is outstanding. I also slept well. The kitchen ladies are lovely and helpful, the cakes and buns are tasty. Tap water has very distinctive smell. The bathroom has no privacy, because the doors are from mated glass. Also I didn't enjoy breakfast very much despite the cakes. Sausages, nuggets were just not tasty. It wasn't quite clear what belonged to the minibar and what not since the rules in different hotels vary, and it wasn't very pleasant.",en,neutral
Melinda,United States,Budget Double Room,2,March 2026,Solo traveller,A bit quirky decor but a good location,"The staff were very helpful and informative. I arrived in the morning so I left my bag at the hotel while I toured the city. When I came to check in they had already put my bag in my room. The room itself was comfortable and I appreciated that there was a ""fast heat"" setting on the HVAC system. The hotel is in a central location which made it easy to get around.",I wish the breakfast was open earlier because I had paid for breakfast but my tours started at 0730 and that was the earliest breakfast time. I found out I could get takeaway but you had to submit the request early in the day and I missed the window. The one day that I was able to have breakfast I thought it was good. There was a kettle in the room with tea but it would have been nice if there had been instant coffee.,9.0,2026-03,2026,3,"The staff were very helpful and informative. I arrived in the morning so I left my bag at the hotel while I toured the city. When I came to check in they had already put my bag in my room. The room itself was comfortable and I appreciated that there was a ""fast heat"" setting on the HVAC system. The hotel is in a central location which made it easy to get around. I wish the breakfast was open earlier because I had paid for breakfast but my tours started at 0730 and that was the earliest breakfast time. I found out I could get takeaway but you had to submit the request early in the day and I missed the window. The one day that I was able to have breakfast I thought it was good. There was a kettle in the room with tea but it would have been nice if there had been instant coffee.",en,positive
Yvonne,Canada,Budget Double Room,1,March 2026,Couple,Clean and nice hotel,"Great location, clean, interesting decor",Everything was good,8.0,2026-03,2026,3,"Great location, clean, interesting decor Everything was good",en,positive
Peter,Austria,Budget Double Room,3,March 2026,Solo traveller,Superb,Great location within walking distance of everything you are likely to want to see. Lots of decent bars and restaurants nearby. Very pleasant staff.,Wifi signal in the bedroom was weak. I suggest to avoid the Guarany restaurant and Majestic cafe recommended by the hotel - both are grossly overpriced.,9.0,2026-03,2026,3,Great location within walking distance of everything you are likely to want to see. Lots of decent bars and restaurants nearby. Very pleasant staff. Wifi signal in the bedroom was weak. I suggest to avoid the Guarany restaurant and Majestic cafe recommended by the hotel - both are grossly overpriced.,en,positive
Vedrana,Spain,Budget Double Room,1,March 2026,Couple,Great value for money,"Great location, they turned an old hotel into a very cute vintage place with a lot of charm. It was very clean, we had plenty of towels in the bathroom and the room was really big.",The wifi could have been better as it kept disconnecting quite often.,9.0,2026-03,2026,3,"Great location, they turned an old hotel into a very cute vintage place with a lot of charm. It was very clean, we had plenty of towels in the bathroom and the room was really big. The wifi could have been better as it kept disconnecting quite often.",en,positive
Matthew,United Kingdom,Budget Double Room,4,March 2026,Couple,No hot water one morning and 2 fire alarms early hours of the morning,location and view from room,,8.0,2026-03,2026,3,location and view from room,en,positive
Jeffrey,United States,Budget Single Room,2,March 2026,Solo traveller,Good,Nice location.,"The decor was a little odd. I don't recall all the old novelty bumper carts in any pictures of the hotel, but I could be wrong. Nice location. I could not get the air or fan to turn on in room, so the room was a tad warm for me.",7.0,2026-03,2026,3,"Nice location. The decor was a little odd. I don't recall all the old novelty bumper carts in any pictures of the hotel, but I could be wrong. Nice location. I could not get the air or fan to turn on in room, so the room was a tad warm for me.",en,neutral
Neil,United Kingdom,Budget Single Room,4,March 2026,Solo traveller,"Superb hotel in an awesome location. Apart from the Wi-Fi, (a small detail) everything was great.","The room was clean, comfortable and excellent value for money for a budget room. The staff were really friendly and helpful, I highly recommend staying at this hotel.",The Wi-Fi signal was weak or unusable for my laptop Internet. The Wi-Fi signal was adequent for all my Smartphone usage.,9.0,2026-03,2026,3,"The room was clean, comfortable and excellent value for money for a budget room. The staff were really friendly and helpful, I highly recommend staying at this hotel. The Wi-Fi signal was weak or unusable for my laptop Internet. The Wi-Fi signal was adequent for all my Smartphone usage.",en,positive
James,United Kingdom,Twin Room,3,February 2026,Solo traveller,Very good,The Art Deco design and the quirky displayed items.,One of the lifts kept breaking down.,8.0,2026-02,2026,2,The Art Deco design and the quirky displayed items. One of the lifts kept breaking down.,en,positive
Tim,United Kingdom,Budget Double Room,1,March 2026,Solo traveller,Good value for a short stay,Good locations very central,Restricted time for breakfast,7.0,2026-03,2026,3,Good locations very central Restricted time for breakfast,en,neutral
Francesco,Italy,Budget Double Room,1,March 2026,Couple,Good experience,"The hotel has got a sort of museum of toys, strange but fun. Hosted in an old buildin it needs a bit of refresh but is a good value for money solution.",,8.0,2026-03,2026,3,"The hotel has got a sort of museum of toys, strange but fun. Hosted in an old buildin it needs a bit of refresh but is a good value for money solution.",en,positive
