name,country,room_type,nr_nights,date,traveler_type,title_review,pos_review,neg_review,hotel_response,score
Ryan,United Kingdom,Budget Single Room,3 nights ·,April 2026,Solo traveller,Lovely stay in Porto,Great location Nice enough room and breakfast Hotel bar open in the evenings - rooftop so nice views Lovely staff,"The pipes outside my room were quite noisy on the first night. There's a minibar in the room (in the fridge). It would be helpful to know that the crisps, chocolate bar and small bottles of wine which are left out on top of the fridge are not free and are part of the minibar.",,8.0
Peter,Canada,Budget Double Room,2 nights ·,April 2026,Couple,"Great location, accommodation and staff",Everything,Breakfast could use some muesli and more fresh fruit plus cold milk availability.,,9.0
Sinead,Ireland,Budget Single Room,1 night ·,March 2026,Solo traveller,Superb,The hotel is in a good location. The staff were friendly. Breakfast was tasty. The room is small but enough for one person. The shower was hot. The hotel is quirky with nice decor.,,,9.0
Barbara,United Kingdom,Budget Double Room,1 night ·,April 2026,Couple,"Rock-Hard Bed, Average Stay",Location central,"We stayed at this hotel expecting a comfortable night, especially for €190 per night including breakfast, but unfortunately it didn’t quite meet expectations. The main issue was the mattress and pillows — they were extremely hard. Honestly, if you had a pillow fight here, someone might end up in hospital! It really affected our sleep and overall comfort. The breakfast was included, but it was quite average and nothing special for the price we paid. Overall, while the stay was okay, the comfort level and value for money could definitely be improved.",,7.0
Perzelova,Netherlands,Budget Double Room,5 nights ·,March 2026,Couple,Weird smell in the hotel,Good location,There was a weird smell in the whole hotel,,7.0
Penny,United Kingdom,Twin Room,1 night ·,April 2026,Couple,Very friendly staff and a fantastic breakfast,Location Size of the room,Everything was good,,8.0
Baraboulka,Lithuania,Budget Double Room,1 night ·,March 2026,Couple,I came for the collection- I got the collection,"I came there for the collection of the 20th century's artifacts and it excedeed my expectations. The roof view is outstanding. I also slept well. The kitchen ladies are lovely and helpful, the cakes and buns are tasty.","Tap water has very distinctive smell. The bathroom has no privacy, because the doors are from mated glass. Also I didn't enjoy breakfast very much despite the cakes. Sausages, nuggets were just not tasty. It wasn't quite clear what belonged to the minibar and what not since the rules in different hotels vary, and it wasn't very pleasant.",,7.0
Melinda,United States,Budget Double Room,2 nights ·,March 2026,Solo traveller,A bit quirky decor but a good location,"The staff were very helpful and informative. I arrived in the morning so I left my bag at the hotel while I toured the city. When I came to check in they had already put my bag in my room. The room itself was comfortable and I appreciated that there was a ""fast heat"" setting on the HVAC system. The hotel is in a central location which made it easy to get around.",I wish the breakfast was open earlier because I had paid for breakfast but my tours started at 0730 and that was the earliest breakfast time. I found out I could get takeaway but you had to submit the request early in the day and I missed the window. The one day that I was able to have breakfast I thought it was good. There was a kettle in the room with tea but it would have been nice if there had been instant coffee.,,9.0
Yvonne,Canada,Budget Double Room,1 night ·,March 2026,Couple,Clean and nice hotel,"Great location, clean, interesting decor",Everything was good,,8.0
Peter,Austria,Budget Double Room,3 nights ·,March 2026,Solo traveller,Superb,Great location within walking distance of everything you are likely to want to see. Lots of decent bars and restaurants nearby. Very pleasant staff.,Wifi signal in the bedroom was weak. I suggest to avoid the Guarany restaurant and Majestic cafe recommended by the hotel - both are grossly overpriced.,,9.0
